AÑO,MES,HOMBRE,MUJER
2003,Enero,6430,321
2003,Febrero,6376,325
2003,Marzo,6565,329
2003,Abril,6570,324
2003,Mayo,6495,312
2003,Junio,6454,295
2003,Julio,6622,313
2003,Agosto,6716,334
2003,Setiembre,6722,354
2003,Octubre,6772,335
2003,Noviembre,6733,357
2003,Diciembre,6422,335
2004,Enero,6721,352
2004,Febrero,6835,343
2004,Marzo,6794,334
2004,Abril,6796,337
2004,Mayo,6852,340
2004,Junio,6775,353
2004,Julio,6897,341
2004,Agosto,6874,353
2004,Setiembre,6881,371
2004,Octubre,6771,358
2004,Noviembre,6745,354
2004,Diciembre,6554,334
2005,Enero,6830,355
2005,Febrero,6907,354
2005,Marzo,6859,354
2005,Abril,6777,358
2005,Mayo,6797,367
2005,Junio,6704,365
2005,Julio,6850,370
2005,Agosto,6913,378
2005,Setiembre,6701,384
2005,Octubre,6338,368
2005,Noviembre,6145,358
2005,Diciembre,5883,328
2006,Enero,6243,358
2006,Febrero,6207,363
2006,Marzo,6185,370
2006,Abril,6273,365
2006,Mayo,6262,364
2006,Junio,6223,361
2006,Julio,6496,380
2006,Agosto,6571,376
2006,Setiembre,6645,397
2006,Octubre,6642,396
2006,Noviembre,6689,412
2006,Diciembre,6500,387
2007,Enero,6790,451
2007,Febrero,6750,404
2007,Marzo,6801,407
2007,Abril,6709,557
2007,Mayo,6849,441
2007,Junio,6645,431
2007,Julio,6739,448
2007,Agosto,6749,453
2007,Setiembre,6750,450
2007,Octubre,6786,468
2007,Noviembre,6817,479
2007,Diciembre,6697,489
2008,Enero,7047,536
2008,Febrero,7077,513
2008,Marzo,7136,525
2008,Abril,7167,521
2008,Mayo,7153,534
2008,Junio,7131,537
2008,Julio,7224,556
2008,Agosto,7327,564
2008,Setiembre,7303,577
2008,Octubre,7303,555
2008,Noviembre,7346,557
2008,Diciembre,7130,535
2009,Enero,7570,565
2009,Febrero,7588,570
2009,Marzo,7666,572
2009,Abril,7753,584
2009,Mayo,7766,577
2009,Junio,7595,668
2009,Julio,7748,652
2009,Agosto,7746,655
2009,Setiembre,7814,644
2009,Octubre,7824,626
2009,Noviembre,7804,629
2009,Diciembre,7669,603
2010,Enero,8111,638
2010,Febrero,8058,674
2010,Marzo,8134,651
2010,Abril,8146,667
2010,Mayo,8184,679
2010,Junio,8000,679
2010,Julio,8109,681
2010,Agosto,8091,692
2010,Setiembre,8096,694
2010,Octubre,7971,792
2010,Noviembre,8154,701
2010,Diciembre,8012,688
2011,Enero,8230,884
2011,Febrero,8373,725
2011,Marzo,8426,714
2011,Abril,8485,710
2011,Mayo,8378,717
2011,Junio,8353,714
2011,Julio,8530,722
2011,Agosto,8558,714
2011,Setiembre,8543,707
2011,Octubre,8615,731
2011,Noviembre,8637,689
2011,Diciembre,8434,636
2012,Enero,8812,662
2012,Febrero,8653,646
2012,Marzo,8695,651
2012,Abril,8731,719
2012,Mayo,8694,654
2012,Junio,8546,659
2012,Julio,8661,646
2012,Agosto,8760,656
2012,Setiembre,8881,656
2012,Octubre,8932,665
2012,Noviembre,8916,641
2012,Diciembre,8794,624
2013,Enero,9264,638
2013,Febrero,9165,664
2013,Marzo,9150,664
2013,Abril,9118,704
2013,Mayo,9060,642
2013,Junio,8966,633
2013,Julio,9107,608
2013,Agosto,8977,631
2013,Setiembre,8980,626
2013,Octubre,8997,659
2013,Noviembre,8897,654
2013,Diciembre,8793,655
2014,Enero,9654,686
2014,Febrero,9567,691
2014,Marzo,9135,541
2014,Abril,9174,639
2014,Mayo,9178,608
2014,Junio,9106,626
2014,Julio,9130,622
2014,Agosto,9110,622
2014,Setiembre,8984,687
2014,Octubre,9037,595
2014,Noviembre,9012,616
2014,Diciembre,8977,565
2015,Enero,9365,576
2015,Febrero,9288,573
2015,Marzo,9273,599
2015,Abril,9291,628
2015,Mayo,9249,605
2015,Junio,9175,637
2015,Julio,9297,625
2015,Agosto,9364,618
2015,Setiembre,9413,583
2015,Octubre,9361,601
2015,Noviembre,9390,600
2015,Diciembre,9270,570
2016,Enero,9602,582
2016,Febrero,9542,575
2016,Marzo,9527,567
2016,Abril,9616,579
2016,Mayo,9661,567
2016,Junio,9708,558
2016,Julio,9514,869
2016,Agosto,9800,616
2016,Setiembre,9751,587
2016,Octubre,9807,565
2016,Noviembre,10032,596
2016,Diciembre,9993,576
2017,Enero,10419,619
2017,Febrero,10420,623
2017,Marzo,10476,627
2017,Abril,10629,624
2017,Mayo,10566,614
2017,Junio,10563,586
2017,Julio,10619,597
2017,Agosto,10493,585
2017,Setiembre,10469,562
2017,Octubre,10449,544
2017,Noviembre,10201,534
2017,Diciembre,9775,466
2018,Enero,9945,473
2018,Febrero,9863,471
2018,Marzo,9755,447
2018,Abril,9654,444
2018,Mayo,9552,453
2018,Junio,9455,451
2018,Julio,9493,458
2018,Agosto,9701,468
2018,Setiembre,9760,483
2018,Octubre,9769,504
2018,Noviembre,9847,497
2018,Diciembre,9751,482
2019,Enero,9887,503
2019,Febrero,9991,514
2019,Marzo,10146,519
2019,Abril,10293,546
2019,Mayo,10418,539
2019,Junio,10449,564
2019,Julio,10550,591
2019,Agosto,10541,595
2019,Setiembre,10584,609
2019,Octubre,10841,620
2019,Noviembre,10945,633
2019,Diciembre,10894,631
2020,Enero,11120,635
2020,Febrero,11173,638
2020,Marzo,11288,649
2020,Abril,11369,680
2020,Mayo,11478,680
2020,Junio,11651,684
2020,Julio,11697,701
2020,Agosto,11872,712
2020,Setiembre,12064,750
2020,Octubre,12252,757
2020,Noviembre,12266,811
2020,Diciembre,12218,821
2021,Enero,12371,840
2021,Febrero,12496,838
2021,Marzo,12579,856
2021,Abril,12717,876
2021,Mayo,12746,894
2021,Junio,12820,891
2021,Julio,12842,899
2021,Agosto,12913,917
2021,Setiembre,13040,930
2021,Octubre,13025,962
2021,Noviembre,13037,991
2021,Diciembre,12837,998
2022,Enero,12818,999
2022,Febrero,12999,1014
2022,Marzo,13161,1019
2022,Abril,13317,1030
2022,Mayo,13368,1016
2022,Junio,13463,1020
2022,Julio,13505,1014
2022,Agosto,13593,1008
2022,Setiembre,13677,1034
2022,Octubre,13632,1028
2022,Noviembre,13658,1042
2022,Diciembre,13463,1034
2023,Enero,13425,1023
2023,Febrero,13526,1011
2023,Marzo,13687,1028
2023,Abril,13745,1063
2023,Mayo,13845,1073
2023,Junio,13912,1087
2023,Julio,13877,1115
2023,Agosto,13899,1111
2023,Setiembre,13978,1127
2023,Octubre,14165,1146
2023,Noviembre,14328,1175
2023,Diciembre,14248,1166
2024,Enero,14243,1184
2024,Febrero,14368,1230
2024,Marzo,14401,1241
2024,Abril,14516,1266
2024,Mayo,14605,1304
2024,Junio,14745,1319
2024,Julio,14623,1320
2024,Agosto,14646,1330
2024,Setiembre,14789,1329
2024,Octubre,14869,1342
2024,Noviembre,14794,1383
2024,Diciembre,14732,1375
