AÑO,MES,CANTIDAD
2010,Enero,0
2010,Febrero,1
2010,Marzo,0
2010,Abril,0
2010,Mayo,0
2010,Junio,0
2010,Julio,0
2010,Agosto,2
2010,Setiembre,0
2010,Octubre,1
2010,Noviembre,0
2010,Diciembre,1
2011,Enero,0
2011,Febrero,0
2011,Marzo,0
2011,Abril,0
2011,Mayo,1
2011,Junio,3
2011,Julio,3
2011,Agosto,1
2011,Setiembre,0
2011,Octubre,2
2011,Noviembre,0
2011,Diciembre,2
2012,Enero,0
2012,Febrero,0
2012,Marzo,0
2012,Abril,1
2012,Mayo,0
2012,Junio,1
2012,Julio,0
2012,Agosto,0
2012,Setiembre,0
2012,Octubre,0
2012,Noviembre,1
2012,Diciembre,0
2013,Enero,0
2013,Febrero,1
2013,Marzo,0
2013,Abril,0
2013,Mayo,0
2013,Junio,0
2013,Julio,1
2013,Agosto,0
2013,Setiembre,1
2013,Octubre,0
2013,Noviembre,0
2013,Diciembre,1
2014,Enero,1
2014,Febrero,1
2014,Marzo,1
2014,Abril,0
2014,Mayo,1
2014,Junio,1
2014,Julio,0
2014,Agosto,0
2014,Setiembre,2
2014,Octubre,1
2014,Noviembre,1
2014,Diciembre,1
2015,Enero,1
2015,Febrero,2
2015,Marzo,1
2015,Abril,1
2015,Mayo,1
2015,Junio,1
2015,Julio,1
2015,Agosto,0
2015,Setiembre,1
2015,Octubre,1
2015,Noviembre,2
2015,Diciembre,1
2016,Enero,0
2016,Febrero,0
2016,Marzo,0
2016,Abril,1
2016,Mayo,0
2016,Junio,0
2016,Julio,3
2016,Agosto,1
2016,Setiembre,3
2016,Octubre,1
2016,Noviembre,0
2016,Diciembre,4
2017,Enero,2
2017,Febrero,0
2017,Marzo,2
2017,Abril,0
2017,Mayo,3
2017,Junio,0
2017,Julio,0
2017,Agosto,1
2017,Setiembre,0
2017,Octubre,1
2017,Noviembre,0
2017,Diciembre,1
2018,Enero,0
2018,Febrero,1
2018,Marzo,1
2018,Abril,1
2018,Mayo,1
2018,Junio,0
2018,Julio,0
2018,Agosto,1
2018,Setiembre,1
2018,Octubre,0
2018,Noviembre,0
2018,Diciembre,2
2019,Enero,0
2019,Febrero,1
2019,Marzo,1
2019,Abril,1
2019,Mayo,0
2019,Junio,0
2019,Julio,0
2019,Agosto,3
2019,Setiembre,1
2019,Octubre,1
2019,Noviembre,0
2019,Diciembre,0
2020,Enero,2
2020,Febrero,1
2020,Marzo,3
2020,Abril,2
2020,Mayo,0
2020,Junio,3
2020,Julio,2
2020,Agosto,1
2020,Setiembre,0
2020,Octubre,0
2020,Noviembre,1
2020,Diciembre,2
2021,Enero,0
2021,Febrero,0
2021,Marzo,2
2021,Abril,0
2021,Mayo,1
2021,Junio,1
2021,Julio,2
2021,Agosto,1
2021,Setiembre,1
2021,Octubre,2
2021,Noviembre,3
2021,Diciembre,3
2022,Enero,1
2022,Febrero,1
2022,Marzo,1
2022,Abril,2
2022,Mayo,0
2022,Junio,0
2022,Julio,0
2022,Agosto,0
2022,Setiembre,2
2022,Octubre,1
2022,Noviembre,0
2022,Diciembre,1
2023,Enero,2
2023,Febrero,1
2023,Marzo,1
2023,Abril,2
2023,Mayo,1
2023,Junio,1
2023,Julio,1
2023,Agosto,0
2023,Setiembre,1
2023,Octubre,1
2023,Noviembre,1
2023,Diciembre,0
2024,Enero,0
2024,Febrero,0
2024,Marzo,1
2024,Abril,2
2024,Mayo,0
2024,Junio,0
2024,Julio,1
2024,Agosto,1
2024,Setiembre,1
2024,Octubre,3
2024,Noviembre,0
2024,Diciembre,2
